views,likes,dislikes,comment,published,duration,category,predicted_adview
440238,6153,218,1377,2053,449,2,2368.6936
1040132,8171,340,1047,1825,389,6,2480.5142
28534,31,11,1,1009,2274,4,29.458721
1316715,2284,250,274,116,595,7,719.2041
1893173,2519,225,116,1892,188,2,2426.175
145820,215,29,19,965,2358,4,21.498491
12921,169,3,73,1060,604,4,1382.0818
4502,65,2,8,1840,155,6,2644.342
662956,1841,321,219,955,837,4,1099.6163
552009,6732,97,1100,1883,1069,2,1662.1041
1144461,592,347,28,1331,0,4,2183.732
161186,371,61,7,2058,1812,4,1275.11
10954,243,9,3,1793,104,7,2711.4192
3325,9,1,0,791,256,4,1429.6476
105950,420,31,76,629,1014,1,419.02246
22626,74,1,29,347,65,5,1242.9377
121718,696,21,303,1843,236,4,2450.4978
322722,310,73,48,885,0,5,1814.0952
5567,69,2,7,1545,108,4,2273.2798
224888,1160,126,61,1900,143,4,2588.0903
14698,21,5,5,1027,176,7,1922.4305
5677,40,7,2,1822,140,4,2507.6814
436827,10516,159,1237,1643,208,2,2201.605
210116,583,83,25,1883,82,4,2621.5789
267447,7712,93,2382,1797,408,4,2306.8755
70260,875,18,290,1561,370,6,2199.2388
14364,63,0,10,864,774,4,1046.8743
2728788,11290,2531,1263,1916,146,4,2733.8203
446002,502,128,40,1881,639,4,2136.0198
66000,632,122,82,1015,430,8,1762.365
166437,1068,106,351,1621,500,6,2147.0874
32667,61,12,1,1652,366,4,2149.7314
1415699,2682,379,134,1030,954,4,1076.3514
602,1,0,0,618,303,4,1224.6974
48454,921,12,180,750,772,1,746.84283
1357745,7802,895,3554,1126,242,4,1860.4844
87951,1291,55,186,1977,581,4,2277.5974
147069,838,25,116,1365,176,2,1915.9592
2607117,14078,344,578,1285,400,4,1849.7291
12096,36,3,0,1970,41,5,2800.4543
6865238,2068,2011,128,1398,134,4,2218.958
5083221,10073,1901,681,665,1250,4,569.34106
21300,98,3,5,817,243,4,1466.1338
891180,1071,273,89,830,1031,4,807.73065
139753,237,49,17,1669,165,7,2542.8909
158136,594,29,63,1124,123,5,1931.8981
731248,695,634,87,1413,144,5,2209.2246
1104151,1320,85,68,366,199,4,1090.8635
3347206,24484,1150,2763,1785,496,7,2526.3057
41106,293,47,6,632,730,4,867.8227
84092,718,128,105,1442,390,6,2069.761
248692,1079,33,139,1918,256,2,2371.7356
229756,3190,103,446,1684,273,4,2280.475
233593,1639,76,494,1896,556,2,2096.1445
37626,92,9,4,1208,390,7,1907.4932
52349,78,8,7,851,117,2,1475.8625
331461,176,96,51,626,2282,4,2400.6396
1124179,4115,502,6659,1608,311,6,1339.3207
7941,26,2,2,641,425,7,1442.2749
90327,50,11,7,653,93,4,2594.5178
9547,34,1,1,1830,49,4,1531.9238
136214,1047,100,156,719,147,5,2305.1155
178258,590,108,46,1464,219,7,2347.7942
160687,369,29,23,1451,0,5,1970.6783
16255,95,3,0,1193,377,8,2671.445
19665,84,1,3,1887,251,7,2393.5613
177737,1963,111,270,1855,398,5,520.26794
417305,113,79,1,1458,2027,4,2360.9036
155007,87,20,6,1683,159,4,1519.7174
3662,9,0,0,686,267,7,2335.1208
265230,1238,48,31,1614,120,4,2279.717
26381,336,5,59,1538,171,5,1843.9552
722065,9337,331,734,812,93,7,1627.3922
1043772,2036,332,175,937,216,4,1416.0021
19443,168,2,229,786,270,4,2294.9915
781304,13057,306,521,1805,284,2,2277.63
120687,336,24,46,1496,281,7,1289.4628
48828,37,1,3,496,97,4,1414.5575
287372,939,37,39,975,480,4,2309.725
3190397,7818,1089,748,1919,417,2,2494.3855
345480,1469,142,721,1798,151,4,2368.3918
756,10,0,0,1561,16,4,2642.3354
587359,5980,289,1987,1740,111,6,2508.9688
2101588,5442,1114,3228,1780,360,6,2230.1074
79017,478,5,22,1405,236,7,2647.455
379563,967,43,131,1789,181,7,2223.163
567865,574,135,42,1521,150,4,723.7863
937912,2128,115,83,418,679,4,1707.5516
279688,143,89,14,930,94,4,1850.9651
75487,51,12,1,1057,63,4,1706.8391
2698,196,7,132,907,67,4,2370.731
1422,48,0,7,1506,182,7,2338.3887
695619,3760,270,326,1637,165,4,2235.4365
231706,1689,114,864,1874,379,2,881.27716
959,12,0,5,719,730,3,1865.8461
64791,1215,32,264,1631,449,1,1923.0848
475714,1512,75,368,991,0,5,1879.8282
578696,524,219,42,1886,1018,5,1127.9999
710099,3273,347,448,494,314,4,21.498491
486919,497,265,143,969,2612,4,2140.3428
2056049,8704,1755,5169,1830,592,2,1184.2295
2409,6,3,0,1567,1455,5,1630.7743
1313777,2251,253,42,1217,514,4,2627.4082
7202,40,4,3,2025,223,4,21.498491
2261160,11270,966,1263,1402,3175,4,2381.4163
18385,33,7,1,1649,97,4,1957.2448
1192122,3002,435,453,865,0,7,2708.5173
257,0,0,0,1934,31,4,1013.5496
256358,819,35,244,760,480,1,2211.5552
516981,5958,189,5061,1781,534,4,1411.8014
4178387,9216,633,688,1566,1058,2,2165.9746
4373,12,1,0,1490,399,7,2008.491
532,7,0,2,1924,746,3,2581.1396
3964344,3463,1653,457,1607,0,5,2283.6743
70874,71,20,0,1733,301,4,742.3289
223293,286,24,33,119,318,4,1263.4944
92615,577,35,449,777,441,4,2168.2805
19394,208,5,58,1784,641,6,2645.9827
611,3,0,0,1879,271,7,1831.3406
228029,3315,50,936,1759,874,4,2192.2754
3024025,2943,1266,526,1844,606,4,2544.512
5806059,2406,1698,152,1988,385,4,1617.6278
23407,55,5,2,1097,145,1,2559.1934
1355673,7447,212,590,1780,315,7,2735.6035
337,1,0,0,1958,26,4,2503.2458
1359569,9367,383,1383,1856,105,2,1585.5756
408495,909,70,55,772,218,6,2162.4868
14077,43,33,5,1900,621,4,2651.7935
690275,10828,660,2326,1903,389,7,2472.9883
171934,779,95,803,1794,319,6,1472.408
52691,91,7,3,745,158,4,683.0774
121880,121,11,9,133,399,4,1412.2672
55276,205,22,25,1862,1744,8,2160.505
453067,670,61,32,1890,619,4,1606.0228
496220,315,143,7,1695,1044,4,1816.4562
549567,637,55,92,885,0,5,1036.269
307674,619,9,55,1,83,7,1642.7086
152263,647,11,69,771,223,7,1405.4175
379727,682,58,26,565,274,7,1257.678
37691,131,41,17,516,309,6,1447.9994
86617,99,17,9,583,239,7,2241.421
29334,7,7,3,1681,140,2,619.46106
72306,159,3,9,140,479,4,1650.2362
3613,11,1,1,1058,293,4,1477.7206
311955,1770,162,149,566,49,5,488.5766
58710,232,11,92,889,1443,4,1705.7461
171,4,0,0,1066,238,4,949.2184
105308,540,9,42,983,866,2,1179.6099
22769,112,34,22,670,261,2,2541.6758
170211,225,41,12,1726,0,4,1648.5514
1190483,15902,235,2074,1049,236,2,792.06934
282416,1249,32,228,215,296,3,2694.078
688,3,0,2,2045,168,4,2099.121
11116,69,4,3,1337,310,7,2384.8271
542673,453,80,24,1685,140,4,1641.5945
959748,380,110,14,981,231,4,2415.1016
158416,22,4,1,1623,31,4,1060.5455
42286,289,35,200,568,442,4,2731.2925
2863,6,0,1,1970,272,7,1365.6791
1084598,2570,346,99,825,396,4,2973.248
4115584,4908,2342,430,2064,0,4,774.5269
67424,1065,36,99,1329,1825,7,21.498491
204125,223,24,14,1024,3237,4,1411.3286
97621,523,97,198,656,139,4,2182.6138
526863,1099,155,77,1895,605,4,969.46106
41175,50,10,1,1322,1664,8,2356.249
2880,8,0,0,1562,31,4,2700.1802
1719341,1478,372,105,1868,0,4,2079.4055
978718,17284,576,4598,1902,869,4,2293.5046
821351,1342,272,82,1448,0,4,2090.9543
99756,802,87,92,1554,334,4,2392.2947
15360,72,10,6,1875,330,4,1501.5305
70170,211,30,8,602,123,6,1301.7567
188489,456,227,162,670,284,4,1525.6544
47856,238,12,20,876,164,3,21.498491
2477043,1042,940,61,981,3461,5,21.498491
19597,59,4,7,968,2574,7,2648.165
1712303,6191,562,194,1811,99,5,2284.6482
713352,16193,244,7389,1878,628,4,2278.0068
201952,315,86,37,1649,449,7,2251.214
57098,53,9,6,1452,261,7,2096.577
361656,3067,112,724,1470,408,6,1652.6287
16213,46,6,3,1451,717,4,2584.094
68717,649,10,201,1846,160,5,2177.867
